epoch,train_reward
0,0.008538099121069535
1,0.0017931235558353365
2,0.0017382203950546682
3,0.0017509332706686109
4,0.0017739714530762285
5,0.0017681755882222206
6,0.0017578140238765627
7,0.0017415463656652718
8,0.0017387897649314254
9,0.0017825713951606303
10,0.0017636786203365773
11,0.0017493280826602132
12,0.0017571873252745717
13,0.0017491938103921711
14,0.0018051619885955006
15,0.0017834224633406848
16,0.0017601038131397218
17,0.00178538873558864
18,0.001806780844926834
19,0.0017537667963188142
