epoch,train_reward
0,0.00020811148300708737
1,8.548251056708978e-05
2,0.0001575335309462389
3,0.0001589162033633329
4,0.00015470456899493
5,0.00016165185319550802
6,0.00016067891396232882
7,0.00015578776648908388
8,0.00015686923092289362
9,0.0001587505610223161
10,0.00016081344198028093
11,0.000160281192875118
12,0.00016121793669299223
13,0.00015610604641551616
14,0.00015945277627906762
15,0.00015892161674855744
16,0.00015957525465637445
17,0.0001584302612900501
18,0.00015943314443575218
19,0.00015952909001498483
