epoch,train_reward
0,0.005248743257998285
1,0.0009875591881063884
2,0.0009724169351466117
3,0.0009930127680490841
4,0.000973159171444422
5,0.0009919010289013387
6,0.0010004646260313166
7,0.0009684403568826383
8,0.0009841478652924706
9,0.0009921934341582527
10,0.0009609128416741442
11,0.0009924673144632835
12,0.0009828757700961433
13,0.0009724168773755082
14,0.0009620681042542856
15,0.001000168070095242
16,0.0009623849476156465
17,0.0010055607286994929
18,0.0009670902894140454
19,0.0009707389988579962
